CONSUMER_SPENDING,TBL1,TBL2,TBL3,TBL4,TBL5,TBL6,TBL7,BOND1,BOND2,BOND3,BOND4,BOND5,BOND6,BOND7,DEBT1,DEBT2,DEBT3,DEBT4,DEBT5,DEBT6,DEBT7,DLSP1,DLSP2,DLSP3,DLSP4,DLSP5,DLSP6,DLSP7
1,7.1,7.48,8.16,8.84,10.32,9.8,9.17,10.34,10.81,11.58,11.74,12.87,13.2,11.94,1.087433688,1.072554642,1.061409472,1.046832161,1.040274231,1.029996841,1.030318652,0.000712456,0.035843156,0.085878738,0.027481711,0.041516919,-0.033646361,-0.031258628
3.4,7.17,7.1,7.48,8.16,8.84,10.32,9.8,9.76,10.34,10.81,11.58,11.74,12.87,13.2,1.101167395,1.087433688,1.072554642,1.061409472,1.046832161,1.040274231,1.029996841,0.071521585,0.000712456,0.035843156,0.085878738,0.027481711,0.041516919,-0.033646361
4.5,6.91,7.17,7.1,7.48,8.16,8.84,10.32,8.56,9.76,10.34,10.81,11.58,11.74,12.87,1.124316486,1.101167395,1.087433688,1.072554642,1.061409472,1.046832161,1.040274231,0.116192266,0.071521585,0.000712456,0.035843156,0.085878738,0.027481711,0.041516919
7.4,6.14,6.91,7.17,7.1,7.48,8.16,8.84,7.6,8.56,9.76,10.34,10.81,11.58,11.74,1.129183944,1.124316486,1.101167395,1.087433688,1.072554642,1.061409472,1.046832161,0.079556733,0.116192266,0.071521585,0.000712456,0.035843156,0.085878738,0.027481711
2.6,5.54,6.14,6.91,7.17,7.1,7.48,8.16,7.31,7.6,8.56,9.76,10.34,10.81,11.58,1.144626751,1.129183944,1.124316486,1.101167395,1.087433688,1.072554642,1.061409472,-0.018348901,0.079556733,0.116192266,0.071521585,0.000712456,0.035843156,0.085878738
0.1,5.34,5.54,6.14,6.91,7.17,7.1,7.48,7.26,7.31,7.6,8.56,9.76,10.34,10.81,1.163778189,1.144626751,1.129183944,1.124316486,1.101167395,1.087433688,1.072554642,0.020608805,-0.018348901,0.079556733,0.116192266,0.071521585,0.000712456,0.035843156
5.7,5.54,5.34,5.54,6.14,6.91,7.17,7.1,7.19,7.26,7.31,7.6,8.56,9.76,10.34,1.186346915,1.163778189,1.144626751,1.129183944,1.124316486,1.101167395,1.087433688,0.144839065,0.020608805,-0.018348901,0.079556733,0.116192266,0.071521585,0.000712456
4.7,5.66,5.54,5.34,5.54,6.14,6.91,7.17,8.34,7.19,7.26,7.31,7.6,8.56,9.76,1.189167486,1.186346915,1.163778189,1.144626751,1.129183944,1.124316486,1.101167395,0.037500619,0.144839065,0.020608805,-0.018348901,0.079556733,0.116192266,0.071521585
0.8,6,5.66,5.54,5.34,5.54,6.14,6.91,8.88,8.34,7.19,7.26,7.31,7.6,8.56,1.202575732,1.189167486,1.186346915,1.163778189,1.144626751,1.129183944,1.124316486,0.094881523,0.037500619,0.144839065,0.020608805,-0.018348901,0.079556733,0.116192266
7.3,5.92,6,5.66,5.54,5.34,5.54,6.14,9.12,8.88,8.34,7.19,7.26,7.31,7.6,1.212603659,1.202575732,1.189167486,1.186346915,1.163778189,1.144626751,1.129183944,-0.285688076,0.094881523,0.037500619,0.144839065,0.020608805,-0.018348901,0.079556733
3,5.73,5.92,6,5.66,5.54,5.34,5.54,8.42,9.12,8.88,8.34,7.19,7.26,7.31,1.212984942,1.212603659,1.202575732,1.189167486,1.186346915,1.163778189,1.144626751,0.072221508,-0.285688076,0.094881523,0.037500619,0.144839065,0.020608805,-0.018348901
3.5,6.16,5.73,5.92,6,5.66,5.54,5.34,8.91,8.42,9.12,8.88,8.34,7.19,7.26,1.214654104,1.212984942,1.212603659,1.202575732,1.189167486,1.186346915,1.163778189,0.016713714,0.072221508,-0.285688076,0.094881523,0.037500619,0.144839065,0.020608805
4.7,6.99,6.16,5.73,5.92,6,5.66,5.54,9.1,8.91,8.42,9.12,8.88,8.34,7.19,1.224275184,1.214654104,1.212984942,1.212603659,1.202575732,1.189167486,1.186346915,0.010558985,0.016713714,0.072221508,-0.285688076,0.094881523,0.037500619,0.144839065
1.9,7.73,6.99,6.16,5.73,5.92,6,5.66,8.96,9.1,8.91,8.42,9.12,8.88,8.34,1.227664912,1.224275184,1.214654104,1.212984942,1.212603659,1.202575732,1.189167486,0.030494382,0.010558985,0.016713714,0.072221508,-0.285688076,0.094881523,0.037500619
1.9,8.55,7.73,6.99,6.16,5.73,5.92,6,9.21,8.96,9.1,8.91,8.42,9.12,8.88,1.233966401,1.227664912,1.224275184,1.214654104,1.212984942,1.212603659,1.202575732,0.059389107,0.030494382,0.010558985,0.016713714,0.072221508,-0.285688076,0.094881523
4,8.41,8.55,7.73,6.99,6.16,5.73,5.92,8.77,9.21,8.96,9.1,8.91,8.42,9.12,1.229913928,1.233966401,1.227664912,1.224275184,1.214654104,1.212984942,1.212603659,0.073217593,0.059389107,0.030494382,0.010558985,0.016713714,0.072221508,-0.285688076
1.8,7.84,8.41,8.55,7.73,6.99,6.16,5.73,8.11,8.77,9.21,8.96,9.1,8.91,8.42,1.233279121,1.229913928,1.233966401,1.227664912,1.224275184,1.214654104,1.212984942,0.098876336,0.073217593,0.059389107,0.030494382,0.010558985,0.016713714,0.072221508
3.5,7.65,7.84,8.41,8.55,7.73,6.99,6.16,7.91,8.11,8.77,9.21,8.96,9.1,8.91,1.231623909,1.233279121,1.229913928,1.233966401,1.227664912,1.224275184,1.214654104,-0.006642974,0.098876336,0.073217593,0.059389107,0.030494382,0.010558985,0.016713714
1.3,7.76,7.65,7.84,8.41,8.55,7.73,6.99,8.42,7.91,8.11,8.77,9.21,8.96,9.1,1.235657341,1.231623909,1.233279121,1.229913928,1.233966401,1.227664912,1.224275184,-0.03807068,-0.006642974,0.098876336,0.073217593,0.059389107,0.030494382,0.010558985
1.6,7.75,7.76,7.65,7.84,8.41,8.55,7.73,8.68,8.42,7.91,8.11,8.77,9.21,8.96,1.237043023,1.235657341,1.231623909,1.233279121,1.229913928,1.233966401,1.227664912,0.047928181,-0.03807068,-0.006642974,0.098876336,0.073217593,0.059389107,0.030494382
-3,7.48,7.75,7.76,7.65,7.84,8.41,8.55,8.7,8.68,8.42,7.91,8.11,8.77,9.21,1.236911308,1.237043023,1.235657341,1.231623909,1.233279121,1.229913928,1.233966401,-0.064195113,0.047928181,-0.03807068,-0.006642974,0.098876336,0.073217593,0.059389107
-1.4,7,7.48,7.75,7.76,7.65,7.84,8.41,8.4,8.7,8.68,8.42,7.91,8.11,8.77,1.236089523,1.236911308,1.237043023,1.235657341,1.231623909,1.233279121,1.229913928,-0.029179876,-0.064195113,0.047928181,-0.03807068,-0.006642974,0.098876336,0.073217593
3.4,6.04,7,7.48,7.75,7.76,7.65,7.84,8.02,8.4,8.7,8.68,8.42,7.91,8.11,1.233434304,1.236089523,1.236911308,1.237043023,1.235657341,1.231623909,1.233279121,0.127240999,-0.029179876,-0.064195113,0.047928181,-0.03807068,-0.006642974,0.098876336
2,5.56,6.04,7,7.48,7.75,7.76,7.65,8.13,8.02,8.4,8.7,8.68,8.42,7.91,1.225938694,1.233434304,1.236089523,1.236911308,1.237043023,1.235657341,1.231623909,0.045099979,0.127240999,-0.029179876,-0.064195113,0.047928181,-0.03807068,-0.006642974
-0.1,5.39,5.56,6.04,7,7.48,7.75,7.76,7.94,8.13,8.02,8.4,8.7,8.68,8.42,1.228144253,1.225938694,1.233434304,1.236089523,1.236911308,1.237043023,1.235657341,0.030139698,0.045099979,0.127240999,-0.029179876,-0.064195113,0.047928181,-0.03807068
7.7,4.57,5.39,5.56,6.04,7,7.48,7.75,7.35,7.94,8.13,8.02,8.4,8.7,8.68,1.221286764,1.228144253,1.225938694,1.233434304,1.236089523,1.236911308,1.237043023,0.011596772,0.030139698,0.045099979,0.127240999,-0.029179876,-0.064195113,0.047928181
2.8,3.89,4.57,5.39,5.56,6.04,7,7.48,7.3,7.35,7.94,8.13,8.02,8.4,8.7,1.21370869,1.221286764,1.228144253,1.225938694,1.233434304,1.236089523,1.236911308,0.03353939,0.011596772,0.030139698,0.045099979,0.127240999,-0.029179876,-0.064195113
4.4,3.69,3.89,4.57,5.39,5.56,6.04,7,7.38,7.3,7.35,7.94,8.13,8.02,8.4,1.203113044,1.21370869,1.221286764,1.228144253,1.225938694,1.233434304,1.236089523,0.010772929,0.03353939,0.011596772,0.030139698,0.045099979,0.127240999,-0.029179876
4.8,3.12,3.69,3.89,4.57,5.39,5.56,6.04,6.62,7.38,7.3,7.35,7.94,8.13,8.02,1.192999629,1.203113044,1.21370869,1.221286764,1.228144253,1.225938694,1.233434304,0.014111348,0.010772929,0.03353939,0.011596772,0.030139698,0.045099979,0.127240999
